update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,800,134.27637992275027,5,-48.691246032714844,128.82492802842384,-389.52996826171875,0.0,7.375,19.512415919101354,0.0,59.0,10.29048240184784,-0.5668054223060608,17.38709807395935,1437.4154510498047,25.997609390230807,-48.691246032714844,128.82492802842384,-389.52996826171875,0.0
2,1600,123.86711445389606,12,-253.45338821411133,158.40224219926125,-440.0212097167969,0.0,85.25,59.337488150409605,0.0,159.0,10.145087242126465,-2.5054272413253784,50.87903833389282,4866.0902099609375,51.18709373898301,-253.45338821411133,158.40224219926125,-440.0212097167969,0.0
3,2400,119.56690356316116,19,-146.7987837791443,126.48598012178483,-440.0212097167969,-50.64743423461914,167.125,72.73657522182359,67.0,235.0,9.914688229560852,-4.249671220779419,11.289482116699219,475.8216800689697,20.873376849965343,-146.7987837791443,126.48598012178483,-440.0212097167969,-50.64743423461914
4,3200,118.36864886152867,25,-190.70551705360413,139.04896896013037,-381.73162841796875,-27.59379005432129,151.625,68.34642913130136,67.0,235.0,9.525498509407043,-6.134203195571899,43.24596881866455,4341.717590332031,33.66841389769761,-190.70551705360413,139.04896896013037,-381.73162841796875,-27.59379005432129
5,4000,120.83296392018947,32,-256.54641461372375,118.70400571065325,-401.544189453125,-27.59379005432129,140.75,57.2227009149341,63.0,235.0,9.431375622749329,-9.981411218643188,37.32882618904114,3163.1768798828125,121.89889307584382,-256.54641461372375,118.70400571065325,-401.544189453125,-27.59379005432129
6,4800,119.72094397004224,39,-202.41914987564087,165.6300531943274,-431.0792236328125,55.3504638671875,162.75,66.1168473235075,63.0,235.0,9.515751600265503,-10.608525514602661,17.583866596221924,2067.2396850585938,73.59087332101069,-202.41914987564087,165.6300531943274,-431.0792236328125,55.3504638671875
7,5600,137.700967612414,44,-127.74093866348267,139.1961653453649,-431.0792236328125,55.3504638671875,174.625,65.79501785849746,57.0,235.0,9.888959884643555,-13.124423265457153,18.574359893798828,484.16172790527344,132.52281324136044,-127.74093866348267,139.1961653453649,-431.0792236328125,55.3504638671875
8,6400,119.34286653151464,51,-134.05570483207703,114.97958643458217,-339.3615417480469,-17.333284378051758,182.625,61.925232135212866,57.0,235.0,9.710492014884949,-16.459969997406006,13.215299487113953,1388.9705505371094,299.7449617212562,-134.05570483207703,114.97958643458217,-339.3615417480469,-17.333284378051758
9,7200,136.324625080621,57,-148.35133719444275,126.47124572838374,-339.3615417480469,-17.333284378051758,177.25,66.07713295838433,57.0,235.0,9.99570620059967,-13.475804805755615,9.872766315937042,1112.713394165039,168.59151648628796,-148.35133719444275,126.47124572838374,-339.3615417480469,-17.333284378051758
10,8000,113.83909939008623,64,-176.32478713989258,193.0462250845106,-452.8851623535156,122.21671295166016,204.25,42.09438798699893,109.0,235.0,10.000670790672302,-15.910072088241577,27.919708251953125,3809.005340576172,132.38035364575848,-176.32478713989258,193.0462250845106,-452.8851623535156,122.21671295166016
11,8800,146.19141923969156,70,-198.73373985290527,162.92806004861413,-452.8851623535156,-47.17727279663086,205.375,39.57883746397815,118.0,235.0,10.228900909423828,-17.916673183441162,14.032265901565552,1491.338851928711,51.72007546784928,-198.73373985290527,162.92806004861413,-452.8851623535156,-47.17727279663086
12,9600,120.89563364994437,76,-88.83201098442078,97.30270229088437,-307.6842956542969,12.164434432983398,202.375,56.90987941473782,91.0,235.0,10.099572896957397,-17.625274658203125,3.8055762350559235,474.64434814453125,179.0391534061393,-88.83201098442078,97.30270229088437,-307.6842956542969,12.164434432983398
13,10400,139.71975211868155,82,-103.9490954875946,132.98239185085936,-428.6209716796875,12.164434432983398,203.25,55.64564223728575,91.0,235.0,10.034473657608032,-18.151037216186523,11.17404043674469,1496.258056640625,151.55887085946256,-103.9490954875946,132.98239185085936,-428.6209716796875,12.164434432983398
14,11200,122.89109650196319,88,-99.58307337760925,125.89267809986337,-428.6209716796875,-18.85548973083496,221.25,36.37908052713812,125.0,235.0,10.130613565444946,-18.76702308654785,5.759468257427216,100.48479080200195,59.46122813705968,-99.58307337760925,125.89267809986337,-428.6209716796875,-18.85548973083496
15,12000,115.91886820090042,95,-87.83951735496521,90.20188822887442,-303.3484802246094,11.660207748413086,196.0,69.41901756723442,47.0,235.0,9.956634640693665,-23.328065395355225,5.422789111733437,779.5184631347656,92.53591411314184,-87.83951735496521,90.20188822887442,-303.3484802246094,11.660207748413086
16,12800,148.0713289162275,101,-126.12692654132843,147.1080542061166,-427.099609375,11.660207748413086,186.75,68.53055887704404,47.0,235.0,10.156085729598999,-19.78775978088379,15.475500464439392,1295.0898895263672,117.06693952588469,-126.12692654132843,147.1080542061166,-427.099609375,11.660207748413086
11,9024,129.83034282454273,7,-92.41174507141113,124.62921161505528,-327.56085205078125,0.0,37.75,51.982569193913456,0.0,124.0,9.966998934745789,-19.68308115005493,20.173072338104248,1311.5225067138672,41.86139787671483,-92.41174507141113,124.62921161505528,-327.56085205078125,0.0
12,10048,136.52431049214957,15,-205.3481960296631,98.36683710813523,-334.4099426269531,-50.521766662597656,153.5,55.25848351158399,59.0,235.0,9.934875130653381,-20.319049835205078,16.642892241477966,1167.4924926757812,213.35895263907324,-205.3481960296631,98.36683710813523,-334.4099426269531,-50.521766662597656
13,11072,134.09353224660234,23,-151.22645473480225,117.6213623774862,-334.4099426269531,-50.521766662597656,202.625,42.379055853098,133.0,235.0,10.08487057685852,-17.175106048583984,3.006698042154312,711.3601913452148,444.68826670539033,-151.22645473480225,117.6213623774862,-334.4099426269531,-50.521766662597656
14,12096,124.38656383193467,31,-69.60878050327301,105.40391261731612,-330.07806396484375,27.67287254333496,203.125,59.71272372786222,62.0,235.0,9.948522567749023,-21.148757934570312,8.15758615732193,796.5608673095703,117.07989731743015,-69.60878050327301,105.40391261731612,-330.07806396484375,27.67287254333496
15,13120,121.12125395829105,39,-171.06416749954224,136.2904845526837,-428.7189636230469,-22.802642822265625,184.125,53.005748509006075,98.0,235.0,9.759037494659424,-26.11569118499756,21.750314235687256,1862.0686645507812,320.75240217710893,-171.06416749954224,136.2904845526837,-428.7189636230469,-22.802642822265625
16,14144,128.7993525616587,47,-239.7302122116089,185.31979349332045,-460.6836853027344,-16.077884674072266,183.375,50.64073829438114,98.0,235.0,9.531389117240906,-30.39063549041748,32.82439351081848,3098.2667846679688,287.7829184059426,-239.7302122116089,185.31979349332045,-460.6836853027344,-16.077884674072266
17,15168,135.013382961634,55,-222.0964479446411,172.68671504586175,-460.6836853027344,-28.853382110595703,198.25,44.530186390806854,126.0,235.0,9.195540428161621,-30.65295934677124,6.064095109701157,750.9038009643555,87.6409991739661,-222.0964479446411,172.68671504586175,-460.6836853027344,-28.853382110595703
18,16192,130.26537475995883,63,-107.17507219314575,90.99679252036928,-327.4462585449219,-36.567543029785156,195.5,62.297672508690084,60.0,235.0,9.152031660079956,-28.97562313079834,-4.197093188762665,159.12849807739258,74.1328655957025,-107.17507219314575,90.99679252036928,-327.4462585449219,-36.567543029785156
19,17216,124.89053228052285,71,-68.83677005767822,39.421203778512364,-159.823486328125,-36.02898025512695,224.5,18.861336113860016,183.0,235.0,9.262260556221008,-27.380218505859375,0.16506806761026382,148.32397270202637,47.82968002300941,-68.83677005767822,39.421203778512364,-159.823486328125,-36.02898025512695
20,18240,129.91562879068408,79,-54.796886682510376,22.170643309223784,-96.177001953125,-19.806421279907227,228.5,17.19738352191984,183.0,235.0,8.791128516197205,-28.028823375701904,-3.064688891172409,77.21068000793457,51.88644335413592,-54.796886682510376,22.170643309223784,-96.177001953125,-19.806421279907227
21,19264,131.10696932714598,86,-41.67764496803284,20.62700415221952,-68.35908508300781,-19.806421279907227,235.0,0.0,235.0,235.0,8.404309153556824,-25.461840629577637,-7.733887016773224,137.07756233215332,45.89212388247731,-41.67764496803284,20.62700415221952,-68.35908508300781,-19.806421279907227
22,20288,144.17300462622637,94,-35.093409061431885,26.927628130936814,-63.798744201660156,22.980995178222656,235.0,0.0,235.0,235.0,9.12568712234497,-23.49092388153076,-0.8424691930413246,113.95276069641113,51.913340715863015,-35.093409061431885,26.927628130936814,-63.798744201660156,22.980995178222656
23,21312,129.1253277125056,102,-94.72259616851807,121.67830450148321,-407.8685607910156,22.980995178222656,222.875,32.07973464665816,138.0,235.0,8.551310062408447,-29.14924383163452,6.4119802713394165,1116.7709045410156,99.89280737173985,-94.72259616851807,121.67830450148321,-407.8685607910156,22.980995178222656
24,22336,137.45517978106278,109,-58.71021866798401,11.532803028803688,-71.09935760498047,-29.897451400756836,235.0,0.0,235.0,235.0,8.868547439575195,-27.856525897979736,0.9957013949751854,94.65935325622559,51.10212081015979,-58.71021866798401,11.532803028803688,-71.09935760498047,-29.897451400756836
25,23360,125.8812316336932,117,-62.72352194786072,15.19344884893751,-83.4738540649414,-29.897451400756836,235.0,0.0,235.0,235.0,8.822033524513245,-28.211718559265137,-2.531449392437935,99.1392936706543,31.80910406103163,-62.72352194786072,15.19344884893751,-83.4738540649414,-29.897451400756836
26,24384,133.67070570017933,125,-60.81932532787323,22.335994082880894,-83.4738540649414,-8.089323997497559,235.0,0.0,235.0,235.0,8.845254778862,-27.640883922576904,-2.8251685798168182,93.00137901306152,40.1560203275052,-60.81932532787323,22.335994082880894,-83.4738540649414,-8.089323997497559
27,25408,130.39320959211935,133,-49.887625098228455,23.70067880807949,-75.59526062011719,-8.089323997497559,235.0,0.0,235.0,235.0,8.489022970199585,-25.17715835571289,-6.273968994617462,100.01323127746582,58.89784560201194,-49.887625098228455,23.70067880807949,-75.59526062011719,-8.089323997497559
28,26432,128.55035270354975,141,-86.70652508735657,126.07393496838928,-418.4619140625,-23.368051528930664,226.25,23.15032397181517,165.0,235.0,9.027104496955872,-22.037115573883057,13.83213722705841,1259.6016082763672,83.26954645813723,-86.70652508735657,126.07393496838928,-418.4619140625,-23.368051528930664
29,27456,126.64895305634559,149,-91.22164607048035,124.46936127569275,-418.4619140625,-23.368051528930664,226.25,23.15032397181517,165.0,235.0,8.648741006851196,-21.82910394668579,-1.7680883929133415,85.19425201416016,54.80720601833597,-91.22164607048035,124.46936127569275,-418.4619140625,-23.368051528930664
